YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,NEST FATE,Notes,,
1999,North East Fence,CR,2,1,5,0,5,0,,,,,,
2021,North Entrance,CR,4,1,,,,,,,,,,
2003,North Farm,CR,5,1,15,5,0,10,9,0,DP,,,
2004,North Farm,CR,2,1,4,0,0,4,3,2,PSUC,,,
2006,North Farm,CR,,,3NA,NA,NA,3,3,,,,,
2014,North Farm,CR,4,1,20,1+,,13,9,,,,,
2012,North Farm Pond,CR,5,1,,0,1,0,6,0,DP,,,
2011,North Fence,CR,9,,,,,,,,,,,
2015,North Fence,CR,4,,,,,,,,,,,
2011,North Fence Woods,CR,4,,,,,,,,,,,
2005,North Gully,CR,,1,23,3,5,15,UNK,,INS,,,
2006,North Gully,CR,14,2,NA,NA,NA,NA,NA,NA,ABD,,,
2006,North Gully,CR,13,1,15,5,5,5,0,,DP,,,
2007,North Gully,CR,6,,4,0,4,0,,,ABD,,,
2007,North Gully,CR,6,,17,,,,,,,,,
2015,North Gully,CR,12,,,,,,,,,,,
1998,North Headquarters,CR,2,1,7,0,0,7,6,0,DP,,,
1998,North Hillside,CR,2,1,5,0,0,5,5,5,,,,
1998,North Hillside,CR,5,1,25,12,1+,12,12,8,,,,
1999,North Hillside,CR,6,1,,,,,,,,,,
2000,North Hillside,CR,2,1,4,0,0,4,0,,DP,,,
2003,North Hillside,CR,3,1,7,0,0,7,2,2,SUCC,,,
2011,North Hillside,CR,4,,,,,,,,,,,
2012,North Hillside,CR,7,,,,,,,,,,,
2000,North House,CR,7,1,15,8,0,6,6,5,,,,
2001,North House,CR,7,1,NA,NA,NA,NA,NA,4,,,,
2002,North House,CR,6,1,13,5,0,8,7,,,,,
2003,North House,CR,12,1,30,9,3,18,0,,DP,,,
2003,North House,CR,12,2,28,12,2,14,5,1,DP PSUC,,,
2004,North House,CR,5,1,17,9,1,7,1,0,DP,,,
2005,North House,CR,,1,19,10,0,9,UNK,,ABD,,,
2006,North House,CR,9,1,8,0,1,7,4,,DP,,,
2006,North House,CR,9,2,6,0,0,6,5,,,,,
2011,North House,CR,8,,,,,,,,,,,
2012,North House,CR,7,,,,,,,,,,,
2013,North House,CR,8,,,,,,,1,SUCC,,,
2007,North House Pond,CR,11,,36,,,,,,INS,,,
1998,North Lagoon,LC,NA,1,15,0,0,15,0,,ABD,,,
2011,North of Home,CR,5,,,,,,,,,,,
2011,North Pond at North Fence,CR,2,,,,,,,,,,,
2007,North Porton,CR,,,10,,3,,,,,,,
2003,North Refuge,LC,2,NA,NA,NA,NA,NA,NA,2,,,,
2003,North Refuge,LC,5,NA,NA,NA,NA,NA,NA,3,,,,
2011,North Watertower,CR,4,,,,,,,,,,,
2000,Northeast,CR,4,1,7,0,0,7,>2,,INS,,,
2002,Northeast,CR,5,1,5,0,0,0,,,ABD,,,
2002,Northeast,CR,5,2,10,0,10,0,,,ABD,,,
2003,Northeast,CR,6,2,1,0,1,0,,,ABD,,,
2003,Northeast,CR,7,1,3,0,0,0,0,,ABD,,,
2003,Northeast,CR,5,3,14,4,0,10,6,2,PSUC,,,
2004,Northeast,CR,7,1,4,0,4,0,,,ABD,,,
2004,Northeast,CR,7,2,6,0,0,6,1,0,DP,,,
2005,Northeast,CR,,1,22,7,2,13,UNK,,INS,,,
2011,Northeast,CR,11,,,,,,,,,,,
2012,Northeast,CR,10,1,14,,,10,10,6,SUCC,,,
2013,Northeast,CR,11,1,11+,,,11,10,0,,,,
2014,Northeast,CR,5,1,7,,,7,5,5,SUCC,,,
2003,Northeast 4-Way,CR,3,1,NA,NA,NA,NA,NA,4,,,,
2006,Northeast Corner,CR,,,,,,,,,ABD,,,
2007,Northeast Corner,CR,6,,13 or 18,,,,,,INS,,,
2011,Northeast Farm,CR,5,,,,,,,,,,,
2012,Northeast Farm,CR,9,1,24,,,13,11,2,SUCC,,,
2013,Northeast Farm,CR,8,1,17+,,,12,11,,,,,
2015,Northeast Farm,CR,6,,,,,,,,,,,
2021,Northeast Farm,CR,11,1,3,,,2,0,,DP,,,
2021,Northeast Farm,CR,11,2,3,,,2,0,,DP,,,
2012,Northeast Hydro,CR,2,,,,,,>1,,,,,
2011,Northeast Uplands,CR,2,,,,,,,,,,,
2012,Northeast Watertower,CR,6,1,10,1,0,9,8,7,SUCC,,,
2013,Northeast Watertower,CR,11,1,12,1,,,,,,,,
2015,Northeast Watertower,CR,13,,,,,,,,,,,
2000,Northwest,CR,8,1,31,19,0,12,8,7,,,,
2001,Northwest,CR,11,1,31,26,0,5,4,4,,,,
2002,Northwest,CR,16,1,21,10,4,7,6,,,,,
2003,Northwest,CR,13,1,24,0,0,24,0,,DP,,,
2004,Northwest,CR,7,,,,,,,,NNA,,,
2005,Northwest,CR,,1,9,1,0,7,6,,INS,,,
1999,Panel,LC,6,1,2,0,1,0,,,ABD,,,
2000,Panel,LC,2,1,5+,NA,NA,5+,5+,5+,,,,
2002,Panel,LC,6,1,NA,NA,NA,NA,4,,,,,
2003,Panel,LC,5,1,14,3,3,8,8,2,PSUC,,,
2003,Planters,LC,7,1,16,4,0,12,9,0,DP,,,
2001,Pond,CR,2,1,2,0,0,0,,,ABD,,,
2005,Pond,CR,,1,6,0,0,6,5,,INS,,,
2011,Pond,CR,3,,,,,,,,,,,
2004,Porton,CR,4,1,4,0,4,0,,,ABD,,,
2004,Porton,CR,4,2,10,2,0,8,0,,ABD,,,
2012,Porton,CR,5,,,,,,,,,,,
2011,Rickety Gate,CR,6,1,9,0,0,0,,,DP,,,
2011,Rickety Gate,CR,6,2,18,5,1,12,,,NNA,,,
2012,Rickety Gate,CR,9,1,2,0,1,0,,,ABD,,,
2012,Rickety Gate,CR,9,2,19,10,0,9,7,2,SUCC,,,
2013,Rickety Gate,CR,9,1,8,,,,7,3,SUCC,,,
2014,Rickety Gate,CR,7,1,7,,,4,2,,,,,
2021,Rickety Gate,CR,12,1,6,0,0,6,5,0,DP,,,
2006,Sandy Corner,CR,7,0,NA,1,NA,NA,0,,ABD,,,
2007,Sandy Corner,CR,8,,4,0,3,0,0,,ABD,,,
2011,Sandy Corner,CR,6,1,36,23,0,13,0,,DP,,,
2012,Sandy Corner,CR,7,1,29,1+,6+,9,0,,DP,,,
2012,Sandy Corner,CR,7,2,32,3+,,14,10,2,SUCC,,,
2013,Sandy Corner,CR,10,1,25+,,4,3,,,DP,,,
2013,Sandy Corner,CR,10,2,12,,12,,,,,,,
2014,Sandy Corner,CR,4,1,15,3,1,11,0,,DP,,,
2014,Sandy Corner,CR,4,2,11,0,0,11,9,UNK,,,,
2015,Sandy Corner,CR,5,1,6,0,1,5,4,0,DP,,,
2021,Sandy Corner,CR,9,1,15,5,0,10,10,7,SUCC,,,
2012,Sandy Road Well,CR,6,1,5,0,5,0,,,ABD,,,
2012,Sandy Road Well,CR,6,2,16,2,2,14,0,,DP,,,
2013,Sandy Road Well,CR,5,,,,,,,4,SUCC,,,
2013,Sandy Scrub,CR,4,,,,,,,,,,,
1999,Sandy Trail,CR,2,1,20,1,3,1,NA,NA,,,,
2003,Shakira North East,LC,9,1,NA,NA,NA,NA,NA,0,DP,,,
1999,South Airfield,CR,2,1,4,0,2,2,0,,DP,,,
2003,South Airfield,CR,5,,,,,,,,NNA,,,
2004,South Airfield,CR,3,1,4,0,0,4,2,0,DP,,,
2005,South Airfield,CR,,1,20,8,0,12,3,,INS,,,
2011,South Airfield,CR,6,,,,,,,,,,,
2000,South Bend,LC,2,1,5,0,0,5,NA,NA,INS,,,
2003,South Bend,LC,3,1,23,6,8,9,7,4,PSUC,,,
2000,South Central fence,LC,2,1,1+,NA,NA,1+,1+,1+,,,,
2002,South Central fence,LC,6,1,NA,NA,NA,9,4,0,DP,,,
2004,South Central LA,CR,8,1,20,9,0,11,8,5,PSUC,,,
2012,South Central LA,CR,4,,,,,,,,,,,
2013,South Central LA,CR,5,1,8,,,7,6,4,SUCC,,,
1999,South East Airfield,CR,2,1,3,0,0,3,0,,,,,
2002,South East Lagoon fence,LC,NA,1,,,,,,,,,,
2003,South Entrance,CR,,,,,,,,,,,,
2012,South Entrance,CR,2,,,,,,,,,,,
2005,South Farm,CR,,1,10,1,1,8,5,,,,,
2011,South Farm,CR,5,,,,,,,,,,,
2012,South Farm,CR,10,1,11,0,4,6,,,NNA,,,
2013,South Farm,CR,8,1,14-15,,,12,11,4,DP,,,
2021,South Farm,CR,6,1,8,0,0,8,5,0,DP,,,
2011,South Farm Midfence,CR,3,1,8,1,0,0,,,DP,,,
2012,South Farm Midfence,CR,2,2,5,1,0,4,3,1+,NNA,,,
2012,South Farm Midfence,CR,2,1,4,,,,2,2,SUCC,,,
2013,South Farm Midfence,CR,2,,,,,,,,,,,
2000,South Fence,CR,3,1,18,3,0,15,6,0,DP,,,
2000,South Fence,CR,2,2,NA,NA,0,10,8,NA,INS,,,
2003,South Fence,CR,7,1,30,26,2,2,0,,DP,,,
2004,South Fence,CR,8,1,15,5,0,10,9,6,PSUC,,,
2005,South Fence,CR,,1,16,5,0,11,UNK,,INS,,,
2006,South Fence,CR,11,,12,1,NA,NA,8,NA,,,,
2007,South Fence,CR,,,15,,,,,,INS,,,
2011,South Fence,CR,3,,,,,,,,,,,
2011,South Fence Woods,CR,3,1,2,0,1,,,,DP,,,
2012,South Fence Woods,CR,4,1,14,3,0,11,3+,,NNA,,,
2013,South Fence Woods,CR,5,1,6,,,,6,6,SUCC,,,
2014,South Fence Woods,CR,13,1,22,12,,10,9,,,,,
2014,South Fence Woods,CR,13,2,47,8+,1+,16,,,,,,
2015,South Fence Woods,CR,9,,,,,,,,,,,
2012,South Mango Arroyo,CR,5,1,18,0,,,,,DP,,,
2012,South Mango Arroyo,CR,5,2,21,5,5,8,7,5,SUCC,,,
2013,South Mango Arroyo,CR,10,1,14+,,1,12,9,2,SUCC,,,
2012,South Mango Mangrove,CR,3,,,,,,,,,,,
2006,South Meadow,CR,6,1,NA,NA,NA,NA,NA,NA,UNK,,,
2000,South Palm,LC,5,1,2+,,0,,0,,,,,
2003,South Panel,LC,9,1,NA,NA,NA,NA,6,5,PSUC,,,
2015,South Pond,CR,2,1,6,1,,5,0,,DP,,,
2007,South Porton,CR,7,,9,,,,,,,,,
2012,South South Farm,CR,8,,,,,,,,,,,
2000,Southeast,CR,3,1,6,0,0,6,5,5,,,,
2015,Southeast,CR,6,1,16,,,,,,,,,
2002,Southeast gate,LC,11,1,NA,2,1,6,6,0,DP,,,
2007,Southeast Trough,LC,,,11,0,,,,,DP,,,
2011,Southwest Corner,CR,3,,,,,,,,,,,
2012,Southwest Gully,UNK,9,,,,,,,,,,,
1998,Squatter Group,LC,4,1,15,3,1,11,0,,,,,
2011,Tamarind,CR,4,,,,,,5,,NNA,,,
2012,Tamarind,CR,5,1,5,0,3,0,,,DP,,,
2012,Tamarind,CR,5,2,9,0,0,8,7,UNK,NNA,,,
2013,Tamarind,CR,8,1,7,,,,,,,,,
2015,Tamarind,CR,13,,,,,,,,,,,
2004,Termite,CR,9,,,,,,,,NNA,,,
2006,Termite,CR,4,1,,,,,,,ABD,,,
2007,Termite,CR,8,,,,,,,,,,,
2011,Termite,CR,6,1,3,0,3,0,,3,SUCC,,,
2012,Termite,CR,5,1,13,3,0,10,7,2,SUCC,,,
2015,Termite,CR,9,,,,,,,,,,,
2012,Uplands 301 North,CR,6,,,,,,,,,,,
2004,Uplands Bathtub,CR,11,1,42,25,8,9,5,5,SUCC,,,
2012,Uplands Cactus,CR,?,,,,,,9,,,,,
2001,US Flag,CR,5,1,,,,,,,,,,
2002,US Flag,CR,5,1,5,0,1,0,,,ABD,,,
2003,US Flag,CR,3,1,4,0,0,4,3,1,PSUC,,,
2003,US Flag,CR,3,2,7,0,0,7,6,3,PSUC,,,
2003,US Flag,CR,3,3,5+,NA,NA,NA,NA,NA,,,,
2004,US Flag,CR,17,1,17,6,0,11,10,6,PSUC,,,
2012,Viney Tree,CR,4,1,10,0,0,10,9,UNK,NNA,,,
2013,Viney Tree,CR,10,1,10,,,10,8,0,DP,,,
2014,Viney Tree,CR,2,1,4,0,0,4,4,,,,,
2015,Viney Tree,CR,3,,,,,,,,,,,
2021,Viney Tree,CR,9,1,8,1,0,7,4,1,DP,,,
2021,Vulture Pond,CR,6,1,8,0,0,8,7,6,SUCC,,,
2011,Watchtower ,CR,5,,,,,,,,,,,
2011,Watchtower East,CR,2,,,,,,,,,,,
2014,Weatherstation,CR,3,1,4,0,0,4,3,0,DP,,,
2014,Weatherstation,CR,3,2,9,4,1,4,,,,,,
2015,Weatherstation,CR,7,,,,,,,,,,,
2021,Weatherstation,CR,7,1,30,10,20,0,,,ABD,,,
2021,West 4 Way,CR,4,1,14,,4,9,6,4,SUCC,,,
1999,West Airstrip Road,CR,3,1,NA,NA,NA,NA,NA,NA,,,,
2013,West Airstrip Road,CR,9,1,10,,,,7,4,SUCC,,,
2021,West Airstrip Road,CR,4,1,5,0,0,5,5,0,DP,,,
2000,West Farmer's Pond,CR,3,1,13,5,0,8,2,0,DP,,,
2015,West Fence,CR,,,,,,,,,,,,
2012,West Gully,CR,5,,,,,,,,,,,
2014,West Gully,CR,4,1,16,1+,,10,6,4,SUCC,,,
2011,West Monkey Tower,LC,9,,,,,,,,,,,
2000,West Palm,LC,NA,1,8+,2,1,5,0,,DP,,,
2001,West Palm,LC,6,1,3,0,2,0,0,,ABD,,,
1999,West Pond,CR,3,1,6,0,1,6,5,3,,,,
2007,West Pond,CR,5,,14,5,NA,9,7,,,,,
2012,West Pond,CR,8,,,,,,,,,,,
2015,West Pond,CR,,,,,,,,,,,,
2014,West Tamarind,CR,7,1,18,,5+,9,6,4,SUCC,,,
2011,West Weatherstation,CR,6,1,16,4,3,9,8,0,DP,,,
2012,West Weatherstation,CR,4,1,11,2,0,9,8,0,DP,,,
2013,West Weatherstation,CR,5,1,8,,,8,8,4,SUCC,,,
2014,West Weatherstation,CR,2,1,5,,,5,5,5,SUCC,,,
