YEAR,LOCATION,SITE,NEST_ATTMPT,HATCHED,FLEDGED,CHCK_NO.,SEX,DATE,DATE2,MASS,TARSUS,CULMEN
2012,Mango,CR,1,3,3,1,M,1,16-Oct-12,12,8.35,9.5
2012,Mango,CR,1,3,3,1,M,2,17-Oct-12,15.5,10.6,10.55
2012,Mango,CR,1,3,3,1,M,3,18-Oct-12,21,14.4,11.4
2012,Mango,CR,1,3,3,1,M,4,19-Oct-12,28.5,16.2,11.9
2012,Mango,CR,1,3,3,1,M,6,21-Oct-12,38,20.5,14
2012,Mango,CR,1,3,3,2,M,1,17-Oct-12,12.5,9,7.1
2012,Mango,CR,1,3,3,2,M,2,18-Oct-12,13,11.4,8.8
2012,Mango,CR,1,3,3,2,M,3,19-Oct-12,20,12.9,10
2012,Mango,CR,1,3,3,2,M,5,21-Oct-12,32,17,13
2012,Mango,CR,1,3,3,3,F,1,18-Oct-12,12.5,8.8,7.75
2012,Mango,CR,1,3,3,3,F,2,19-Oct-12,17.5,11.3,9
2012,Mango,CR,1,3,3,3,F,4,21-Oct-12,26,13.3,11.3
2012,Termite,CR,1,6,2,1,F,1,6-Oct-12,9,11.5,9.6
2012,Termite,CR,1,6,2,2,F,1,6-Oct-12,13,12,9.2
2012,Termite,CR,1,6,2,3,F,1,7-Oct-12,22,13.7,10.8
2012,Termite,CR,1,6,2,3,F,2,8-Oct-12,34,17,12.3
2012,Termite,CR,1,6,2,3,F,3,9-Oct-12,40,19.2,13.5
2012,Termite,CR,1,6,2,3,F,4,10-Oct-12,36,19.4,13.9
2012,Termite,CR,1,6,2,4,F,1,7-Oct-12,22,12.9,10.1
2012,Termite,CR,1,6,2,4,F,2,8-Oct-12,35.5,17.1,12.9
2012,Termite,CR,1,6,2,4,F,3,9-Oct-12,39,19.4,14.5
2012,Termite,CR,1,6,2,4,F,4,10-Oct-12,35,20.4,15.3
2012,Termite,CR,1,6,2,5,F,1,7-Oct-12,16,10.5,9.9
2012,Termite,CR,1,6,2,5,F,2,8-Oct-12,26.5,14,10.6
2012,Termite,CR,1,6,2,5,F,3,9-Oct-12,33,15.9,12.5
2012,Termite,CR,1,6,2,6,F,1,8-Oct-12,12,8,8.3
2012,Termite,CR,1,6,2,6,F,2,9-Oct-12,14,11.1,9.7
2012,Termite,CR,1,6,2,6,F,3,10-Oct-12,14.5,10.7,10.7
2012,East Fence,CR,1,5,4,1,M,1,13-Oct-12,13,10.25,8.8
2012,East Fence,CR,1,5,4,1,M,2,14-Oct-12,15.5,12.3,9.8
2012,East Fence,CR,1,5,4,1,M,3,15-Oct-12,24,14.8,11.4
2012,East Fence,CR,1,5,4,1,M,4,16-Oct-12,35.5,17.4,11.5
2012,East Fence,CR,1,5,4,1,M,5,17-Oct-12,35.5,20.2,14.3
2012,East Fence,CR,1,5,4,1,M,6,18-Oct-12,44,22.2,14.9
2012,East Fence,CR,1,5,4,2,M,1,14-Oct-12,13,10.3,8.6
2012,East Fence,CR,1,5,4,2,M,2,15-Oct-12,16.5,11.7,10.5
2012,East Fence,CR,1,5,4,2,M,3,16-Oct-12,24,15.1,10.7
2012,East Fence,CR,1,5,4,2,M,4,17-Oct-12,25.5,17.4,12.9
2012,East Fence,CR,1,5,4,2,M,5,18-Oct-12,33,20,14
2012,East Fence,CR,1,5,4,2,M,6,19-Oct-12,40,20.9,15.5
2012,East Fence,CR,1,5,4,3,M,1,14-Oct-12,13,9.3,8.5
2012,East Fence,CR,1,5,4,3,M,2,15-Oct-12,16.5,13,10.5
2012,East Fence,CR,1,5,4,3,M,3,16-Oct-12,28.5,14.1,10.6
2012,East Fence,CR,1,5,4,3,M,4,17-Oct-12,29.5,16.4,13
2012,East Fence,CR,1,5,4,3,M,5,18-Oct-12,36,19.9,14.7
2012,East Fence,CR,1,5,4,3,M,6,19-Oct-12,40,21.1,15.8
2012,East Fence,CR,1,5,4,4,F,1,15-Oct-12,11.5,10.6,10.1
2012,East Fence,CR,1,5,4,4,F,2,16-Oct-12,14,11.6,9
2012,East Fence,CR,1,5,4,4,F,3,17-Oct-12,17.5,13,11.3
2012,East Fence,CR,1,5,4,4,F,4,18-Oct-12,21,15.7,12.7
2012,East Fence,CR,1,5,4,4,F,5,19-Oct-12,22.5,16.1,13.5
2012,East Fence,CR,1,5,4,4,F,8,22-Oct-12,39,20.3,15.75
2012,East Fence,CR,1,5,4,5,M,1,16-Oct-12,12,10.7,9.5
2012,East Fence,CR,1,5,4,5,M,2,17-Oct-12,12.5,11.4,10
2012,Fincanewfie,CR,1,7,5,1,M,2,26-Nov-12,11.5,10.65,8.5
2012,Fincanewfie,CR,1,7,5,1,M,3,27-Nov-12,16,11.9,9.2
2012,Fincanewfie,CR,1,7,5,2,M,1,26-Nov-12,12.5,10.25,9.15
2012,Fincanewfie,CR,1,7,5,2,M,2,27-Nov-12,17.5,12.1,9.9
2012,Fincanewfie,CR,1,7,5,2,M,3,28-Nov-12,25,14.4,11.4
2012,Fincanewfie,CR,1,7,5,2,M,5,30-Nov-12,44,18.1,13.1
2012,Fincanewfie,CR,1,7,5,2,M,6,1-Dec-12,40,19.9,14.4
2012,Fincanewfie,CR,1,7,5,2,M,7,2-Dec-12,47,21.1,15.2
2012,Fincanewfie,CR,1,7,5,3,M,1,26-Nov-12,10.5,9.5,7.8
2012,Fincanewfie,CR,1,7,5,3,M,2,27-Nov-12,13.5,10.8,8.9
2012,Fincanewfie,CR,1,7,5,3,M,3,28-Nov-12,22,13.4,11.15
2012,Fincanewfie,CR,1,7,5,3,M,6,1-Dec-12,42,20,13.75
2012,Fincanewfie,CR,1,7,5,3,M,7,2-Dec-12,53,22,14.75
2012,Fincanewfie,CR,1,7,5,4,M,1,27-Nov-12,10.5,9.9,8.5
2012,Fincanewfie,CR,1,7,5,4,M,2,28-Nov-12,16.5,11.5,10.2
2012,Fincanewfie,CR,1,7,5,4,M,5,1-Dec-12,34,18.3,13.2
2012,Fincanewfie,CR,1,7,5,4,M,6,2-Dec-12,45,19.6,14.8
2012,Fincanewfie,CR,1,7,5,5,M,1,27-Nov-12,10,11,9.2
2012,Fincanewfie,CR,1,7,5,5,M,2,28-Nov-12,15.5,11.8,9.3
2012,Fincanewfie,CR,1,7,5,5,M,5,1-Dec-12,33,18.1,12.5
2012,Fincanewfie,CR,1,7,5,5,M,6,2-Dec-12,43,20.6,13.8
2012,Fincanewfie,CR,1,7,5,6,M,1,27-Nov-12,11,9.8,9
2012,Fincanewfie,CR,1,7,5,6,M,2,28-Nov-12,17,12,9.7
2012,Fincanewfie,CR,1,7,5,6,M,5,1-Dec-12,34,18.3,12.7
2012,Fincanewfie,CR,1,7,5,6,M,6,2-Dec-12,44,19.8,14.3
2012,Fincanewfie,CR,1,7,5,7,M,1,28-Nov-12,10.5,10,8.45
2013,5 Silohs,CR,NA,4,1,1,F,1,16-Oct-13,10.5,9.5,9.15
2013,5 Silohs,CR,NA,4,1,1,F,2,17-Oct-13,14,11.65,9.9
2013,5 Silohs,CR,NA,4,1,1,F,3,18-Oct-13,26,16.3,11.65
2013,5 Silohs,CR,NA,4,1,1,F,5,20-Oct-13,37,19.1,13.75
2013,5 Silohs,CR,NA,4,1,1,F,7,22-Oct-13,40,23,15.7
2013,5 Silohs,CR,NA,4,1,2,F,1,17-Oct-13,12,11.15,10.1
2013,5 Silohs,CR,NA,4,1,2,F,2,18-Oct-13,20.5,13.4,11.2
2013,5 Silohs,CR,NA,4,1,2,F,4,20-Oct-13,32.5,17.1,13.4
2013,5 Silohs,CR,NA,4,1,2,F,6,22-Oct-13,36,21.5,16.45
2013,5 Silohs,CR,NA,4,1,3,F,1,18-Oct-13,15.5,11.7,9.1
2013,5 Silohs,CR,NA,4,1,3,F,3,20-Oct-13,26.5,15.6,12.4
2013,5 Silohs,CR,NA,4,1,3,F,5,22-Oct-13,32,19.6,14.9
2013,5 Silohs,CR,NA,4,1,4,,1,20-Oct-13,14,11.5,9.4
2013,5 Silohs,CR,NA,4,1,4,,3,22-Oct-13,28,17.4,12.3
2013,5 Silohs,CR,NA,4,1,4,,4,23-Oct-13,30,18.4,13.5
2021,Casablanca,CR,1,6,5,1,,1,11-Dec-21,12,9.8,7.4
2021,Casablanca,CR,1,6,5,1,,3,13-Dec-21,22,14.3,11
2021,Casablanca,CR,1,6,5,1,,4,14-Dec-21,24,15.6,10.4
2021,Casablanca,CR,1,6,5,1,,5,15-Dec-21,29.5,17.5,11.8
2021,Casablanca,CR,1,6,5,1,,7,17-Dec-21,38,21,14.1
2021,Casablanca,CR,1,6,5,2,,1,11-Dec-21,11.5,9.7,7.3
2021,Casablanca,CR,1,6,5,2,,3,13-Dec-21,22,13.7,11.2
2021,Casablanca,CR,1,6,5,2,,4,14-Dec-21,26.5,15,11.8
2021,Casablanca,CR,1,6,5,2,,5,15-Dec-21,31,17.3,12.6
2021,Casablanca,CR,1,6,5,2,,7,17-Dec-21,42.5,21.5,15.5
2021,Casablanca,CR,1,6,5,3,,1,13-Dec-21,16,12.2,9.6
2021,Casablanca,CR,1,6,5,3,,2,14-Dec-21,20.5,12.4,9.3
2021,Casablanca,CR,1,6,5,3,,4,15-Dec-21,19.5,13.6,10.5
2021,Casablanca,CR,1,6,5,3,,6,17-Dec-21,37,18.6,12.2
2021,Casablanca,CR,1,6,5,4,,1,13-Dec-21,15,11.3,9.9
2021,Casablanca,CR,1,6,5,4,,2,14-Dec-21,17.5,12.8,11.2
2021,Casablanca,CR,1,6,5,4,,3,15-Dec-21,22,15.2,12.6
2021,Casablanca,CR,1,6,5,4,,5,17-Dec-21,24,19,15.3
2021,Casablanca,CR,1,6,5,5,,1,13-Dec-21,10.5,10.7,9.3
2021,Casablanca,CR,1,6,5,5,,2,14-Dec-21,12,11.3,9
2021,Casablanca,CR,1,6,5,5,,3,15-Dec-21,15.5,12.7,10
2021,Casablanca,CR,1,6,5,5,,5,17-Dec-21,33.5,16,12.2
2021,Casablanca,CR,1,6,5,6,,1,14-Dec-21,10,9.4,8.1
2021,Casablanca,CR,1,6,5,6,,2,15-Dec-21,8.5,10.1,9.6
2021,Casablanca,CR,1,6,5,6,,4,17-Dec-21,13,13.3,10.8
2021,Sandy Corner,CR,1,10,7,1,,1,7-Dec-21,14,10.4,10.2
2021,Sandy Corner,CR,1,10,7,1,,2,8-Dec-21,24.5,15.7,12.2
2021,Sandy Corner,CR,1,10,7,1,,3,9-Dec-21,29,17.2,13.4
2021,Sandy Corner,CR,1,10,7,1,,4,10-Dec-21,28.5,18,13.7
2021,Sandy Corner,CR,1,10,7,1,,5,11-Dec-21,28,19.8,14
2021,Sandy Corner,CR,1,10,7,2,,1,7-Dec-21,10,9,8.6
2021,Sandy Corner,CR,1,10,7,2,,2,8-Dec-21,17,12.7,10.3
2021,Sandy Corner,CR,1,10,7,2,,3,9-Dec-21,22.5,14.3,11.3
2021,Sandy Corner,CR,1,10,7,2,,4,10-Dec-21,24,15.4,12.2
2021,Sandy Corner,CR,1,10,7,2,,5,11-Dec-21,25.5,17.7,12.7
2021,Sandy Corner,CR,1,10,7,2,,7,13-Dec-21,40,20.6,15.3
2021,Sandy Corner,CR,1,10,7,3,,1,7-Dec-21,10,9.5,8.2
2021,Sandy Corner,CR,1,10,7,3,,2,8-Dec-21,17.5,12.9,10.5
2021,Sandy Corner,CR,1,10,7,3,,3,9-Dec-21,24,15.2,11.4
2021,Sandy Corner,CR,1,10,7,3,,4,10-Dec-21,25,15.5,12.1
2021,Sandy Corner,CR,1,10,7,3,,5,11-Dec-21,26.5,17.7,12.7
2021,Sandy Corner,CR,1,10,7,3,,7,13-Dec-21,42,22.4,16.2
2021,Sandy Corner,CR,1,10,7,4,,1,7-Dec-21,10,9.3,8.1
2021,Sandy Corner,CR,1,10,7,4,,2,8-Dec-21,15,12.9,11.3
2021,Sandy Corner,CR,1,10,7,4,,3,9-Dec-21,21.5,14.4,11.9
2021,Sandy Corner,CR,1,10,7,4,,4,10-Dec-21,22,14.7,11.5
2021,Sandy Corner,CR,1,10,7,4,,5,11-Dec-21,23.5,16.4,12.8
2021,Sandy Corner,CR,1,10,7,4,,7,13-Dec-21,33.5,19.6,14.3
2021,Sandy Corner,CR,1,10,7,5,,1,8-Dec-21,14,11.3,10
2021,Sandy Corner,CR,1,10,7,5,,2,9-Dec-21,21,13.5,10.5
2021,Sandy Corner,CR,1,10,7,5,,3,10-Dec-21,21,14,12
2021,Sandy Corner,CR,1,10,7,5,,4,11-Dec-21,23,16.3,12.7
2021,Sandy Corner,CR,1,10,7,5,,6,13-Dec-21,31,21,15.8
2021,Sandy Corner,CR,1,10,7,6,,1,8-Dec-21,12,11.1,9.6
2021,Sandy Corner,CR,1,10,7,6,,2,9-Dec-21,17,13,10.6
2021,Sandy Corner,CR,1,10,7,6,,3,10-Dec-21,18,13.8,11.7
2021,Sandy Corner,CR,1,10,7,6,,4,11-Dec-21,19,15.7,12.9
2021,Sandy Corner,CR,1,10,7,6,,6,13-Dec-21,27.5,18.9,14.6
2021,Sandy Corner,CR,1,10,7,7,,1,8-Dec-21,9,9.7,9
2021,Sandy Corner,CR,1,10,7,7,,2,9-Dec-21,12,10.5,9.3
2021,Sandy Corner,CR,1,10,7,7,,3,10-Dec-21,13.5,12.5,10.1
2021,Sandy Corner,CR,1,10,7,7,,4,11-Dec-21,14,13.2,11
2021,Sandy Corner,CR,1,10,7,7,,6,13-Dec-21,18.5,16.4,12.5
2021,Sandy Corner,CR,1,10,7,8,,1,9-Dec-21,14,10.2,9.3
2021,Sandy Corner,CR,1,10,7,8,,2,10-Dec-21,14,11.5,9.9
2021,Sandy Corner,CR,1,10,7,8,,3,11-Dec-21,14,12.3,10.8
2021,Sandy Corner,CR,1,10,7,9,,1,10-Dec-21,11.5,8.9,8.2
2021,Sandy Corner,CR,1,10,7,9,,2,11-Dec-21,10,9.2,9
2021,Sandy Corner,CR,1,10,7,10,,1,10-Dec-21,9,9.2,10.1
2021,Sandy Corner,CR,1,10,7,10,,2,11-Dec-21,7.5,9.9,8.7
2021,West 4 Way,CR,1,6,4,1,,1,10-Dec-21,10.5,9.7,8.9
2021,West 4 Way,CR,1,6,4,1,,2,11-Dec-21,9.5,9.8,9.4
2021,West 4 Way,CR,1,6,4,1,,4,13-Dec-21,19.5,15.2,11.5
2021,West 4 Way,CR,1,6,4,2,,1,10-Dec-21,11,9.5,7.9
2021,West 4 Way,CR,1,6,4,2,,2,11-Dec-21,12,9.8,8.8
2021,West 4 Way,CR,1,6,4,2,,4,13-Dec-21,22,15.4,12.1
2021,West 4 Way,CR,1,6,4,2,,6,15-Dec-21,27,16.3,13.5
2021,West 4 Way,CR,1,6,4,2,,8,17-Dec-21,36,21.3,15.4
2021,West 4 Way,CR,1,6,4,3,,1,11-Dec-21,11.5,9.2,8
2021,West 4 Way,CR,1,6,4,3,,3,13-Dec-21,19,14.3,10.2
2021,West 4 Way,CR,1,6,4,3,,5,15-Dec-21,32.5,17.8,13.5
2021,West 4 Way,CR,1,6,4,3,,7,17-Dec-21,40.5,21.9,16.8
2021,West 4 Way,CR,1,6,4,4,,1,11-Dec-21,11,9.3,7.9
2021,West 4 Way,CR,1,6,4,4,,3,13-Dec-21,16.5,12.7,9.9
2021,West 4 Way,CR,1,6,4,4,,5,15-Dec-21,27,16.3,13
2021,West 4 Way,CR,1,6,4,4,,7,17-Dec-21,33,20.3,14.8
2021,West 4 Way,CR,1,6,4,5,,1,13-Dec-21,18,11.9,10
2021,West 4 Way,CR,1,6,4,5,,3,15-Dec-21,18,14.1,11
2021,West 4 Way,CR,1,6,4,5,,5,17-Dec-21,23,16.7,14
2021,West 4 Way,CR,1,6,4,6,,1,15-Dec-21,11.5,9.7,8.9
2021,West 4 Way,CR,1,6,4,6,,3,17-Dec-21,17,13.2,11.3
