YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,CONF,NEW.CHCKS_DAY1,NEW.CHCKS_DAY2,NEW.CHCKS_DAY3,NEW.CHCKS_DAY4,NEW.CHCKS_DAY5,NEW.CHCKS_DAY6,NEW.CHCKS_DAY7,SPAN
2003,Panel,LC,5,1,14,3,3,8,8,2,1,3,4,1,,,,,3
2004,Middle Road,LC,6,1,11,1,4,6,4,3,1,1,2,,1,,,,4
2004,North Farm,CR,2,1,4,0,0,4,3,2,1,1,2,,,,,,2
2004,South Fence,CR,8,1,15,5,0,10,9,6,1,2,1,,6,,,,4
2004,Uplands Bathtub,CR,11,1,42,25,8,9,5,5,1,2,1,1,1,,,,4
2012,East Fence,CR,5,1,7,0,0,7,5,4,1,1,2,1,1,,,,4
2012,Fincanewfie,CR,13,1,52,30,13,9,7,5,1,1,2,3,1,,,,4
2012,Home,CR,4,1,7,0,0,7,3,2,1,2,1,,,,,,2
2012,Mango,CR,8,1,7,0,0,6,3,3,1,1,,2,,,,,3
2012,North Cactus,CR,11,1,14,1,5,8,8,5,1,2,,,,4,1,1,7
2012,Termite,CR,5,1,13,3,0,10,6,2,1,2,3,1,,,,,3
2013,5 Silohs,CR,6,NA,5,NA,,NA,4,1,1,1,1,1,,1,,,5
2021,5 Silohs,CR,7,1,19,NA,2,15,13,2,3,3,1,,8,0,,1,7
2021,Casablanca,CR,9,1,11,NA,1,9,6,5,1,2,,3,1,,,,4
2021,Sandy Corner,CR,9,1,15,5,0,10,10,7,1,4,3,1,2,0,,,4
2021,West 4 Way,CR,4,1,14,NA,4,9,6,4,1,2,2,,1,1,,,5
2003,Northeast,CR,5,3,14,4,0,10,6,2,2,1,1,1,1,,1,1,7
2021,Dead Tree Hill,CR,21,1,28,15,3,10,6,4,2,4,0,1,,0,1,,6
2003,East Canal,LC,10,1,54,33,8,13,6,5,3,1,3,,1,,1,,6
2003,East Panel,LC,6,1,27,17,0,10,8,5,3,3,0,2,2,0,1,,6
2003,Home,CR,3,2,14,1,1,12,11,5,3,4,5,2,,,,,3
2003,North Hillside,CR,3,1,7,0,0,7,2,2,3,2,,,,,,,1
2003,South Bend,LC,3,1,23,6,8,9,7,4,3,3,3,,1,,,,4
2003,US Flag,CR,3,2,7,0,0,7,6,3,3,6,,,,,,,1
2004,4-Way,CR,4,2,7,0,1,6,6,5,3,3,2,1,,,,,3
2004,North Central Lagoon,LC,6,1,26,7,3,16,12,9,3,3,4,4,1,,,,4
2011,Dead Tree Hill,CR,4,2,13,6,0,7,5,3,3,3,2,,,,,,2
2012,Northeast,CR,10,1,14,NA,,10,10,6,3,7,,,3,,,,4
2012,Northeast Watertower,CR,6,1,10,1,0,9,8,7,3,7,1,,,,,,2
2012,Sandy Corner,CR,7,2,32,NA,,14,10,2,3,1,,7,1,1,,,5
2012,South Farm Midfence,CR,2,1,4,NA,,NA,2,2,3,1,1,,,,,,2
2013,Entrance,CR,5,1,NA,NA,,8,4,3,3,4,,,,,,,1
2013,Rickety Gate,CR,9,1,8,NA,,NA,7,3,3,5,,,,2,,,5
2013,South Central LA,CR,5,1,8,NA,,7,6,4,3,5,,1,,,,,3
2013,South Fence Woods,CR,5,1,6,NA,,NA,6,6,3,6,,,,,,,1
2013,South Mango Arroyo,CR,10,1,NA,NA,1,12,9,2,3,7,,2,,,,,3
2021,East Refuge Field,CR,9,1,21,NA,,9,9,6,3,6,1,,2,,,,4
2003,4-Way,CR,3,2,8,0,1,7,3,3,,,,,,,,,
2003,Bimbo,LC,6,1,8,0,0,8,5,2,,,,,,,,,
2003,Casablanca,CR,3,1,6,1,0,5,4,2,,,,,,,,,
2003,Garden,LC,3,1,6,0,0,6,6,3,,,,,,,,,
2003,Gully,CR,3,1,NA,NA,NA,NA,3,1,,,,,,,,,
2003,Hill Top,CR,2,1,5,0,0,5,1,1,,,,,,,,,
2003,Middle Road,LC,3,1,4,0,0,4,2,2,,,,,,,,,
2003,North Central Gate,LC,6,1,19,4,2,13,9,4,,,,,,,,,
2003,South Panel,LC,9,1,NA,NA,NA,NA,6,5,,,,,,,,,
2003,US Flag,CR,3,1,4,0,0,4,3,1,,,,,,,,,
2004,East Central,CR,2,2,NA,NA,NA,NA,3,3,,,,,,,,,
2004,East Citgo,CR,4,1,8,0,0,8,8,4,,,,,,,,,
2004,Garbage,CR,7,1,16,7,0,9,7,7,,,,,,,,,
2004,Gully,CR,5,1,7,1,0,6,6,2,,,,,,,,,
2004,Home,CR,3,1,7,0,0,7,3,3,,,,,,,,,
2004,Main Gate,LC,7,2,NA,NA,0,5,3,2,,,,,,,,,
2004,South Central LA,CR,8,1,20,9,0,11,8,5,,,,,,,,,
2004,US Flag,CR,17,1,17,6,0,11,10,6,,,,,,,,,
2011,5 Silohs,CR,7,1,7,0,0,7,5,1,,,,,,,,,
2012,East Refuge Field,CR,8,1,12,0,3,12,6,1,,,,,,,,,
2012,Entrance,CR,3,1,10,0,1,9,6,3,,,,,,,,,
2012,Northeast Farm,CR,9,1,24,NA,,13,11,2,,,,,,,,,
2012,Rickety Gate,CR,9,2,19,10,0,9,7,2,,,,,,,,,
2012,South Mango Arroyo,CR,5,2,21,5,5,8,7,5,,,,,,,,,
2013,East Fence,CR,7,NA,NA,NA,,NA,3,2,,,,,,,,,
2013,East Refuge Field,CR,6,NA,NA,NA,,NA,3,2,,,,,,,,,
2013,West Airstrip Road,CR,9,1,10,NA,,NA,7,4,,,,,,,,,
2013,West Weatherstation,CR,5,1,8,NA,,8,8,4,,,,,,,,,
2014,East Fence,CR,4,1,7,NA,,7,5,2,,,,,,,,,
2014,Northeast,CR,5,1,7,NA,,7,5,5,,,,,,,,,
2014,West Gully,CR,4,1,16,NA,,10,6,4,,,,,,,,,
2014,West Tamarind,CR,7,1,18,NA,5+,9,6,4,,,,,,,,,
2014,West Weatherstation,CR,2,1,5,NA,,5,5,5,,,,,,,,,
2021,Farm Entrance,CR,10,1,16,2,,12,11,8,,,,,,,,,
2021,N^2,CR,5,2,7,0,0,7,6,6,,,,,,,,,
2021,Vulture Pond,CR,6,1,8,0,0,8,7,6,,,,,,,,,
